title	format	rating	status
长津湖	film	6	completed
银河补习班	film	9	completed
Star Wars / New Hope, A	film	7	completed
Star Wars / Empire Strikes Back, The	film	5	completed
Star Wars / Return of the Jedi, The	film	5	completed
Star Wars / Phantom Menace, The	film	7	completed
Star Wars / Attack of the Clones	film	7	completed
Star Wars / Revenge of the Sith	film	9	completed
Star Wars / Force Awakens, The	film	2	completed
Star Wars / Last Jedi, The	film	2	completed
Star Wars / Rise of Skywalker	film	3	completed
Star Wars / Clone Wars, The	film	7	completed
Star Wars / Rogue One	film	4	completed
Star Wars / Solo	film	3	completed
Tolkien / Lord of the Rings, The / Fellowship of the Ring, The	film	8	completed
Tolkien / Lord of the Rings, The / Two Towers, The	film	10	completed
Tolkien / Lord of the Rings, The / Return of the King	film	10	completed
Tolkien / Hobbit, The	film	6	completed
Edge of Tomorrow	film	6	completed
Hitman's Bodyguard, The	film	7	completed
Avatar / Last Airbender, The	film	1	completed
Inception	film	5	completed
Marvel / Infinity War	film	2	completed
Marvel / Endgame	film	2	completed
Matrix, The	film	3	completed
Macbeth	film	1	completed
Dead Poets Society	film	4	completed
Ex Machina	film	4	completed
Harry Potter /	film	9	completed
Jack the Giant Slayer	film	7	completed
Terminator, The	film	6	completed
Mulan (2020)	film	6	completed
Ride Your Wave	film	9	completed
Weathering with You	film	9	completed
Game of Thrones	tv	9	completed
Witcher, The	tv	7	completed
Avatar / Avatar: The Last Airbender	tv	10	completed
Star Wars / Clone Wars, The	tv	10	completed
Star Wars / Rebels	tv	9	completed
Star Wars / Bad Batch, The	tv	6	completed
Star Wars / Mandalorian, The	tv	8	completed
Star Wars / Book of Boba Fett, The	tv	6	completed
Tokyo Ghoul / Tokyo Ghoul	tv	7	completed
Tokyo Ghoul / Tokyo Ghoul root A	tv	6	completed
Tokyo Ghoul / Tokyo Ghoul:re	tv	3	completed
Avatar / Legend of Korra, The	tv	7	completed
Queen's Gambit, The	tv	4	completed
Squid Game	tv	5	completed
Warriors /	novel	6	completed
Seekers /	novel	8	completed
Tolkien / Lord of the Rings, The /	novel	10	completed
Tolkien / Hobbit, The	novel	6	completed
Tolkien / Silmarillion, The	novel	10	completed
Riordan / Percy Jackson and the Olympians /	novel	10	completed
Riordan / Heroes of Olympus /	novel	9	completed
Riordan / Trials of Apollo /	novel	8	in progress
Wings of Fire / Legends / Darkstalker	novel	10	completed
Wings of Fire / Legends / Dragonslayer	novel	10	completed
Wings of Fire / Arc 1 / Dragonet Prophecy, The	novel		completed
Wings of Fire / Arc 1 / Lost Heir, The	novel		completed
Wings of Fire / Arc 1 / Hidden Kingdom, The	novel		completed
Wings of Fire / Arc 1 / Dark Secret, The	novel		completed
Wings of Fire / Arc 1 / Brightest Night, The	novel		completed
Wings of Fire / Arc 2 / Moon Rising	novel		completed
Wings of Fire / Arc 2 / Winter Turning	novel		completed
Wings of Fire / Arc 2 / Escaping Peril	novel		completed
Wings of Fire / Arc 2 / Talons of Power	novel		completed
Wings of Fire / Arc 2 / Darkness of Dragons	novel	2	completed
Wings of Fire / Arc 3 / Lost Continent, The	novel		completed
Wings of Fire / Arc 3 / Hive Queen, The	novel		completed
Wings of Fire / Arc 3 / Poison Jungle, The	novel		completed
Wings of Fire / Arc 3 / Dangerous Gift, The	novel		in progress
Septimus Heap /	novel	7	completed
Bravelands /	novel	8	completed
Series of Unfortunate Events, A /	novel	8	in progress
Alex Rider /	novel	7	in progress
Hunger Games, The / Hunger Games, The	novel	7	completed
Hunger Games, The / Catching Fire	novel	6	completed
Hunger Games, The / Mockingjay	novel	1	completed
Catcher in the Rye	novel	2	in progress
Star Wars / Ahsoka	novel	8	completed
Star Wars / Dark Disciple	novel	3	completed
Star Wars / Allegiance	novel	5	completed
Tolkien / Children of Hurin	novel	6	completed
Chronicles of Narnia, The / Magician's Nephew, The	novel	8	completed
Chronicles of Narnia, The / Lion, the Witch and the Wardrobe, The	novel		in progress
Chronicles of Narnia, The / Horse and His Boy, The	novel	10	completed
1984	novel	3	completed
Ranger's Apprentice /	novel	8	completed
To Be a Cat	novel	8	completed
Twilight / Twilight	novel	7	completed
Twilight / New Moon	novel	3	completed
Twilight / Eclipse	novel	6	completed
Twilight / Breaking Dawn	novel	5	in progress
Seraphina / Seraphina	novel	7	completed
Seraphina / Shadow Scale	novel	7	completed
Seraphina / Tess of the Road	novel	7	completed
Adventures of Tintin, The /	comic	8	completed
Hamilton	musical	10	completed
Phantom of the Opera, The	musical	6	completed
Genshin Impact	game	8	in progress
Star Wars / Obi-Wan Kenobi	tv	5	in progress
Breaking Bad	tv	4	in progress
Re:Zero - Starting Life in Another World	tv	8	in progress
Chainsaw Man	tv	7	in progress
Dororo	tv	6	in progress
Crash Landing on You	tv		in progress
House of the Dragon	tv	9	in progress
